"cole_mcpio_ubicacion","cole_naturaleza","_col2","_col3","_col4"
"ABEJORRAL","OFICIAL","256.63473053892216","154","383"
"AMAGÁ","OFICIAL","241.86602870813397","148","368"
"AMALFI","OFICIAL","234.28","152","349"
"ANDES","OFICIAL","249.23809523809524","152","375"
"APARTADÓ","NO OFICIAL","279.8732394366197","156","374"
"APARTADÓ","OFICIAL","233.08614564831262","148","384"
"ARBOLETES","OFICIAL","217.03492063492064","149","340"
"BARBOSA","NO OFICIAL","274.37931034482756","163","343"
"BARBOSA","OFICIAL","237.0406320541761","152","380"
"BELLO","NO OFICIAL","270.9419014084507","145","415"
"BELLO","OFICIAL","250.3147120055517","140","408"
"BOGOTÁ D.C.","NO OFICIAL","294.2308101690752","135","450"
"BOGOTÁ D.C.","OFICIAL","257.8298522823586","138","449"
"CALDAS","NO OFICIAL","313.03636363636366","199","375"
"CALDAS","OFICIAL","255.10220440881764","155","385"
"CAREPA","OFICIAL","234.79609544468548","151","378"
"CAUCASIA","NO OFICIAL","317.2142857142857","219","420"
"CAUCASIA","OFICIAL","250.05927552140506","147","409"
"CAÑASGORDAS","OFICIAL","227.65","143","371"
"CHIGORODÓ","NO OFICIAL","265.9310344827586","199","353"
"CHIGORODÓ","OFICIAL","227.37987679671457","132","352"
"CISNEROS","OFICIAL","243.87209302325581","157","339"
"CIUDAD BOLÍVAR","NO OFICIAL","310.25","262","361"
"CIUDAD BOLÍVAR","OFICIAL","229.7622950819672","153","355"
"COPACABANA","NO OFICIAL","293.3229166666667","186","395"
"COPACABANA","OFICIAL","258.7891061452514","153","381"
"CÁCERES","OFICIAL","215.73333333333332","141","351"
"DABEIBA","OFICIAL","216.42021276595744","147","356"
"DONMATÍAS","NO OFICIAL","284.92857142857144","204","374"
"DONMATÍAS","OFICIAL","239.01242236024845","159","358"
"EL BAGRE","NO OFICIAL","207.0909090909091","169","288"
"EL BAGRE","OFICIAL","221.6155268022181","143","342"
"EL CARMEN DE VIBORAL","NO OFICIAL","296.0","257","336"
"EL CARMEN DE VIBORAL","OFICIAL","271.94924812030075","153","444"
"ENVIGADO","NO OFICIAL","305.3201376936317","148","477"
"ENVIGADO","OFICIAL","267.8862199747156","153","415"
"FRONTINO","OFICIAL","247.90751445086704","154","358"
"GIRARDOTA","NO OFICIAL","302.6885245901639","173","379"
"GIRARDOTA","OFICIAL","244.59171597633136","148","388"
"GRANADA","OFICIAL","250.78571428571428","165","332"
"GUARNE","NO OFICIAL","312.2","271","355"
"GUARNE","OFICIAL","269.87644787644786","167","376"
"GÓMEZ PLATA","OFICIAL","248.43478260869566","160","336"
"ITAGÜÍ","NO OFICIAL","291.8041958041958","202","397"
"ITAGÜÍ","OFICIAL","258.87979797979796","135","402"
"ITUANGO","OFICIAL","212.3743842364532","144","328"
"JERICÓ","OFICIAL","247.9208633093525","157","355"
"LA CEJA","NO OFICIAL","303.3636363636364","221","370"
"LA CEJA","OFICIAL","270.81636726546907","165","393"
"LA ESTRELLA","NO OFICIAL","298.47115384615387","180","381"
"LA ESTRELLA","OFICIAL","243.83680555555554","155","375"
"MACEO","OFICIAL","239.60759493670886","151","351"
"MARINILLA","NO OFICIAL","307.859649122807","171","433"
"MARINILLA","OFICIAL","265.9330357142857","147","411"
"MEDELLÍN","NO OFICIAL","259.3559517913158","132","445"
"MEDELLÍN","OFICIAL","250.78275570583264","136","443"
"MUTATÁ","OFICIAL","204.38028169014083","152","298"
"NECHÍ","OFICIAL","222.52272727272728","158","334"
"NECOCLÍ","OFICIAL","214.65656565656565","133","374"
"PEQUE","OFICIAL","223.3846153846154","150","319"
"PEÑOL","OFICIAL","240.34825870646767","148","377"
"PUERTO BERRÍO","NO OFICIAL","305.46153846153845","242","359"
"PUERTO BERRÍO","OFICIAL","217.58792650918636","149","345"
"PUERTO TRIUNFO","OFICIAL","259.5308641975309","185","370"
"REMEDIOS","OFICIAL","211.2925925925926","137","348"
"RIONEGRO","NO OFICIAL","309.6967741935484","200","410"
"RIONEGRO","OFICIAL","260.41952983725133","133","436"
"SABANETA","NO OFICIAL","311.0","204","408"
"SABANETA","OFICIAL","267.0","157","379"
"SAN CARLOS","OFICIAL","237.30538922155688","158","353"
"SAN JUAN DE URABÁ","OFICIAL","211.3762886597938","126","370"
"SAN PEDRO DE LOS MILAGROS","OFICIAL","253.0418410041841","157","361"
"SAN PEDRO DE URABÁ","OFICIAL","231.515625","154","344"
"SAN ROQUE","OFICIAL","224.64878048780488","145","358"
"SANTA BÁRBARA","OFICIAL","250.2972972972973","155","370"
"SANTA FÉ DE ANTIOQUIA","NO OFICIAL","279.09090909090907","229","358"
"SANTA FÉ DE ANTIOQUIA","OFICIAL","249.3846153846154","158","370"
"SANTA ROSA DE OSOS","NO OFICIAL","294.89473684210526","229","380"
"SANTA ROSA DE OSOS","OFICIAL","253.12264150943398","167","388"
"SANTO DOMINGO","OFICIAL","268.8333333333333","198","362"
"SEGOVIA","OFICIAL","219.0950819672131","145","354"
"SONSÓN","OFICIAL","245.0295358649789","165","348"
"SOPETRÁN","OFICIAL","222.69021739130434","142","331"
"TURBO","NO OFICIAL","245.34459459459458","148","376"
"TURBO","OFICIAL","207.78658536585365","134","344"
"TÁMESIS","OFICIAL","239.27215189873417","162","345"
"URRAO","OFICIAL","227.73192771084337","145","333"
"VALPARAÍSO","OFICIAL","231.04347826086956","159","315"
"VEGACHÍ","OFICIAL","216.41379310344828","142","359"
"VIGÍA DEL FUERTE","OFICIAL","200.2027027027027","152","265"
"YARUMAL","NO OFICIAL","267.9268292682927","157","343"
"YARUMAL","OFICIAL","255.89027431421445","152","375"
"YOLOMBÓ","OFICIAL","214.79024390243902","143","381"
"ZARAGOZA","NO OFICIAL","248.6","188","322"
"ZARAGOZA","OFICIAL","209.23529411764707","142","313"
